"ORF","sample1","sample2","sample3","sample4","sample5","sample6"
"chr13_534903",0,0,0,0,0,0
"chr13_534938",0,0,0,0,0,0
"chr13_534944",82,80,95,41,59,38
"chr13_535228",0,0,0,0,1,0
"chr13_535893",0,0,0,0,0,0
"chr13_536207",25,26,24,16,20,19
"chr13_536776",0,0,0,0,0,0
"chr13_536916",0,0,0,0,0,0
"chr13_537127",0,1,0,0,1,1
"chr13_537723",0,0,0,0,0,0
"chr13_537838",158,160,186,117,136,205
"chr13_538643",0,0,0,0,0,0
"chr13_538689",1835,1690,2104,1500,1739,1833
"chr13_540037",0,0,0,0,0,0
"chr13_540221",0,0,0,0,0,0
"chr13_540446",0,0,0,0,0,0
"chr13_540485",0,0,0,0,0,0
"chr13_541054",0,0,0,0,0,0
"chr13_541199",1956,1676,2176,1163,1248,1395
"chr13_542978",469,439,632,353,459,422
"chr13_54470",0,0,0,0,0,0
"chr13_544983",0,0,0,0,0,0
"chr13_544999",0,0,0,0,0,0
"chr13_545155",108,90,85,75,93,107
"chr13_545300",0,0,0,0,0,0
"chr13_546125",1503,1302,1621,1235,1353,1479
"chr13_54714",0,0,0,0,0,0
"chr13_547714",1224,1279,1364,1008,1131,1167
"chr13_54793",43,41,45,21,31,38
"chr13_549319",107,132,136,88,137,119
"chr13_54949",0,0,0,0,0,0
"chr13_549519",0,0,0,0,0,0
"chr13_549615",109,106,117,98,105,121
"chr13_549736",3,3,6,0,3,0
"chr13_549922",0,0,0,0,0,0
"chr13_550206",1888,1878,2178,1470,1494,1817
"chr13_55048",0,2,3,2,2,8
"chr13_550911",1,1,0,0,1,0
"chr13_551928",922,851.992,1043.995,629.998,651.99,794
"chr13_55265",255,222,265,207,231,223
"chr13_552736",10,4.008,3.005,1.002,4.01,3
"chr13_553064",0,0,0,0,0,0
"chr13_553215",0,0,0,0,0,0
"chr13_553362",193,180,231,144,129,182
"chr13_554719",0,0,0,0,0,0
"chr13_554793",5716,5606,6720,4960.998,5522,6619
"chr13_556336",2,8,1,1.002,3,0
"chr13_556652",0,0,0,0,0,0
"chr13_556677",1,0,1,1,0,0
"chr13_556735",12,15,17,11,8,16
"chr13_557136",0,0,0,0,0,0
"chr13_557401",0,0,0,0,0,1
"chr13_557481",1869,1763,2067,1366,1577,1781
"chr13_557497",0,0,0,0,0,0
"chr13_558582",0,0,0,0,0,0
"chr13_558798",0,0,0,0,0,0
"chr13_558830",0,0,0,0,0,0
"chr13_558847",0,0,0,0,0,0
"chr13_559199",474,427,517,321,344,392
"chr13_559745",0,0,0,0,0,0
"chr13_560366",519,512,569,418,433,519
"chr13_560398",0,0,0,0,0,0
"chr13_560535",0,0,0,0,0,0
"chr13_560996",650,508,695,504,493,555
"chr13_561547",0,0,0,0,0,0
"chr13_561908",0,0,0,0,0,0
"chr13_561956",316,355,350,228,215.983,279
"chr13_562154",0,0,0,0,2.017,1
"chr13_562506",19,15,14,6,12,9
"chr13_562674",0,0,0,0,0,0
"chr13_562847",0,0,0,0,0,0
"chr13_563011",0,0,0,0,0,0
"chr13_563096",1391,1316,1769,1146,1238,1302
"chr13_564435",480.819,473.924,534.873,411,397.878,486.915
"chr13_564446",7.181,3.076,8.127,7,4.122,5.085
"chr13_564732",0,0,0,0,0,1
"chr13_565999",392,320,442,300,331,364
"chr13_56773",1010,1041,1213,846,968,1050
"chr13_567795",0,0,0,0,0,0
"chr13_568255",0,0,0,0,0,0
"chr13_568271",0,0,3,1,0,0
"chr13_568394",4,2,2,0,0,0
"chr13_568551",485,411,556,395,422,473
"chr13_568679",0,0,0,0,0,0
"chr13_568859",0,0,0,0,0,0
"chr13_568973",0,0,0,0,0,0
"chr13_569882",0,0,0,0,0,0
"chr13_570242",0,0,0,0,0,0
"chr13_570300",312,287,332,227,241,268
"chr13_570430",0,0,0,0,0,0
"chr13_570579",0,0,0,0,0,0
"chr13_570736",0,0,0,0,0,0
"chr13_570989",1,6,6,4,5,5
"chr13_571175",0,1,3,5,2,9
"chr13_571277",283,266,311,236.995,237,230
"chr13_571590",0,0,0,1.005,0,2
"chr13_572248",224.995,207,246,155,144,217
"chr13_572364",1.005,0,0,0,1,0
"chr13_572640",0,0,0,0,0,0
"chr13_572725",0,0,0,0,0,0
"chr13_573194",17,17,15,16,20,14
"chr13_573633",0,0,0,0,0,0
"chr13_573955",0,2,3,0,0,0
"chr13_574476",113,101,157,109,112,106
"chr13_57473",0,0,0,0,0,0
"chr13_574749",0,0,0,0,0,0
"chr13_574858",0,0,0,0,0,0
"chr13_575066",1226,1129,1347,992,1022,1283
"chr13_577151",0,0,0,0,0,0
"chr13_577246",0,0,0,0,0,0
"chr13_577402",0,1,0,0,1,0
"chr13_577718",150,190,215,135,153,158
"chr13_578506",10,8,13,11,19,15
"chr13_578593",0,1,0,0,0,0
"chr13_57866",380,428,480,308,363,365
"chr13_578711",0,0,0,0,2,0
"chr13_578951",1728,1565,1968,1330,1494,1543
"chr13_58257",0,0,0,0,0,0
"chr13_584209",0,0,0,0,0,0
"chr13_584271",602,600.989,756.991,541,628,706.919
"chr13_584384",0,0,0,0,0,0
"chr13_584704",0,1.011,1.009,0,3,3.081
"chr13_586592",1,0,0,0,0,0
"chr13_58703",0,0,0,0,0,0
"chr13_587034",0,0,0,0,0,0
"chr13_587128",0,0,0,0,0,0
"chr13_587274",791,699,866,565,628,741
"chr13_588504",0,0,0,0,0,0
"chr13_58939",1121,1065,1311,833,1034,1066
"chr13_589461",0,0,0,0,0,0
"chr13_58955",0,0,0,0,0,0
"chr13_589560",0,0,2,1,0,1
"chr13_589685",0,0,0,0,0,0
"chr13_589697",0,0,0,0,0,0
"chr13_590040",2088,2044.985,2407,1619,1932,1994
"chr13_590387",0,0,0,0,0,0
"chr13_590428",0,1.015,0,0,0,0
"chr13_592460",0,0,0,0,0,0
"chr13_592833",0,0,0,0,0,0
"chr13_592965",0,0,0,0,0,0
"chr13_593014",0,0,0,0,1,4
"chr13_593367",151,161,202,113,120,150
"chr13_594417",0,0,0,0,0,0
"chr13_594626",0,0,0,0,2,0
"chr13_594767",0,0,0,0,0,0
"chr13_594801",0,0,0,0,0,0
"chr13_594886",469,424,546,344,426,453
"chr13_596598",1,1,0,0,0,0
"chr13_597332",399,380,474,374,347,434
"chr13_598770",0,0,0,0,0,0
"chr13_599002",0,0,0,0,0,0
"chr13_599123",0,0,0,0,0,0
"chr13_599151",0,0,0,0,0,0
"chr13_599352",877.756,907.543,1100.738,956.404,1095.003,1052.507
"chr13_599363",0,0,0,0,0,0
"chr13_599530",0,0,0,0,0,0
"chr13_600166",0,0,0,0,0,0
"chr13_600301",0,0,0,0,0,0
"chr13_600907",0,0,0,0,1,0
"chr13_601203",0,0,0,0,0,0
"chr13_601257",0,0,0,0,0,0
"chr13_601438",1,2,2,0,0,0
"chr13_601547",2,1,1,4,0,3
"chr13_601562",1299.244,1237.457,1471.262,1022.596,1107.997,1021.493
"chr13_602511",0,0,0,0,0,0
"chr13_603161",0,0,0,0,0,0
"chr13_603241",0,0,0,0,0,0
"chr13_603244",0,0,0,0,0,0
"chr13_603314",0,0,0,0,0,0
"chr13_603350",0,0,0,0,0,0
"chr13_603443",1,0,3,2,0,0
"chr13_603571",0,0,0,0,0,0
"chr13_603601",0,0,0,0,0,0
"chr13_603868",1254,1209,1541,1283,1321.991,1470
"chr13_604115",0,0,0,0,1.009,0
"chr13_605777",0,0,0,0,0,0
"chr13_605981",699,602,735,467,578,620
"chr13_608316",0,1,1,2,1,1
"chr13_608689",3991,3458,4201,2761,2863,3129
"chr13_609758",0,0,0,0,0,0
"chr13_609863",0,0,0,0,0,0
"chr13_610159",668,738,734,525,562,575
"chr13_610421",2,5,3,2,3,1
"chr13_610543",0,0,0,0,0,0
"chr13_610561",0,0,0,0,0,1
"chr13_610668",0,0,0,0,0,0
"chr13_610725",0,0,0,0,0,0
"chr13_610756",6,8,8,3,7,4
"chr13_610772",0,0,0,0,0,0
"chr13_610856",0,1,0,0,1,0
"chr13_610899",0,0,0,0,0,0
"chr13_611016",1989,1918,2189,651,1116,908
"chr13_611049",0,0,0,0,1,0
"chr13_611314",32,48,68,35,29,21
"chr13_611381",0,0,0,0,2,0
"chr13_611563",4,2,1,4,4,0
"chr13_611705",0,0,0,0,0,0
"chr13_611740",1704,1604,1993,1425,1622,1626
"chr13_611772",0,0,0,0,0,0
"chr13_616010",0,0,0,0,0,0
"chr13_616023",15,2,14,13,12,8
"chr13_616131",0,0,0,0,0,0
"chr13_616253",4,1,2,2,0,1
"chr13_616294",1,0,0,0,1,0
"chr13_616383",0,0,0,0,0,0
"chr13_616566",136,113,131,82,111,103
"chr13_618067",1,1,0,0,0,0
"chr13_618242",0,0,0,0,0,0
"chr13_618479",447.917,422.894,583.882,381.92,385,430
"chr13_619099",13.083,16.106,12.118,11.08,13,14
"chr13_619447",0,0,0,0,0,0
"chr13_619537",0,1,1,1,0,2
"chr13_619561",1,0,0,0,0,0
"chr13_619672",0,0,0,0,0,0
"chr13_619858",410,385,477,330,367,457
"chr13_619936",0,0,0,0,0,0
"chr13_620208",0,0,0,0,0,0
"chr13_62213",0,0,0,0,0,0
"chr13_622251",305,335,339,252,273,278
"chr13_622685",0,0,0,0,0,0
"chr13_622911",0,0,0,0,0,0
"chr13_622957",2,1,2,1,3,0
"chr13_623206",0,0,0,0,0,0
"chr13_623286",0,0,1,1,0,1
"chr13_623383",16,22,22,25,22,15
"chr13_623588",0,0,0,0,0,0
"chr13_62359",0,1,0,0,1,0
"chr13_623616",1305,1271,1648,1187,1283,1252
"chr13_624354",0,0,0,0,0,0
"chr13_624491",14,13,16,7,16,19
"chr13_624532",99,85,116,83,89,95
"chr13_624594",1,2,1,0,0,0
"chr13_625227",0,0,0,0,0,0
"chr13_625380",36,35,35,21,35,35
"chr13_625512",0,0,0,0,0,0
"chr13_625565",0,0,0,0,0,0
"chr13_625811",0,0,2,1,0,0
"chr13_62582",2025,1960,2283,1605,1720,1757
"chr13_626022",0,0,0,0,0,0
"chr13_626214",0,0,0,0,0,0
"chr13_626921",720,702,902,605,608,644
"chr13_628128",0,0,0,0,0,0
"chr13_628189",193,178,236,157,170,223
"chr13_628978",0,0,0,0,0,0
"chr13_629025",622,546,709,494,572,581
"chr13_629328",0,0,0,0,0,0
"chr13_632355",7383,7352.001,9123.888,5515,6095.999,6445
"chr13_632423",0,0,0,0,1.001,0
"chr13_634414",0,0,0,0,0,0
"chr13_634626",0,0,0,0,0,0
"chr13_634689",232,191,236,179,228,204
"chr13_636085",0,0,0,0,0,0
"chr13_636291",462,445,528,332,303,394
"chr13_636457",0,0,0,0,0,0
"chr13_637160",0,0,0,0,0,2
"chr13_637332",12,17,26,6,3,13
"chr13_637500",1107,1000,1317,839,897,1123
"chr13_637595",0,0,0,0,0,0
"chr13_640915",1989,1975.984,2416.98,1609,1918,1893
"chr13_645011",0,1.016,1.02,1,0,0
"chr13_645401",6217,5963,7123,4976,5556,5829
"chr13_646819",0,0,0,0,0,0
"chr13_646996",0,0,0,0,0,0
"chr13_647076",0,0,0,0,0,0
"chr13_647118",263,231,317,175,244,227
"chr13_649810",0,0,0,0,0,0
"chr13_650036",414,406,545,316,312,417
"chr13_650779",0,1,1,0,0,0
"chr13_651077",0,0,0,0,0,0
"chr13_651145",238,229,233,146,155,181.207
"chr13_651688",1,0,0,0,0,0
"chr13_651785",0,4,1,0,0,1
"chr13_652013",0,0,0,0,0,0
"chr13_652594",324,338,406,246,317,333
"chr13_652912",6,12,6,3,7,4
"chr13_653316",0,0,0,0,0,0
"chr13_653622",0,0,0,0,0,0
"chr13_653878",0,0,0,0,0,0
"chr13_653983",0,0,0,0,0,0
"chr13_654034",637,710,748,614,638,631
"chr13_654433",5,2,4,4,8,3
"chr13_654552",0,0,0,0,0,0
"chr13_654683",0,0,0,0,0,0
"chr13_655076",6203,5850,7116,5024,5574,6092
"chr13_655827",0,0,0,0,0,0
"chr13_658425",0,0,0,0,0,2
"chr13_658545",714,652,796,472,569,603
"chr13_659745",338,261,328,156,188,221
"chr13_661447",0,0,0,0,0,0
"chr13_661683",1,0,1,1,0,0
"chr13_661952",0,0,0,0,0,0
"chr13_661954",4,3,3,3,1,0
"chr13_662044",0,0,0,0,0,0
"chr13_662392",3,3,1,1,2,5
"chr13_662644",1480,1487,1862,1398,1558,1656
"chr13_662949",0,0,0,0,0,0
"chr13_664332",0,0,0,0,0,0
"chr13_664357",0,0,0,0,0,0
"chr13_664495",0,0,0,0,0,0
"chr13_664752",967,934,1205,896,1022,1080
"chr13_665182",0,0,0,0,0,0
"chr13_665707",0,0,0,0,0,0
"chr13_665766",0,0,0,0,0,0
"chr13_665845",352,334,361,217,299,298
"chr13_666760",0,0,0,0,0,0
"chr13_667197",0,0,0,1,0,1
"chr13_667235",0,0,0,0,0,0
"chr13_667254",5,1,0,3,2,2
"chr13_667320",7,3,7,4,6,5
"chr13_667441",0,0,0,0,0,0
"chr13_667537",540,517,604,398,412,423
"chr13_667743",0,0,0,0,0,0
"chr13_667919",0,0,0,0,0,0
"chr13_668137",0,0,0,0,0,0
"chr13_668427",0,0,0,0,0,0
"chr13_668492",2441,2299,2661,1791,1970,2121
"chr13_669975",0,0,0,0,0,0
"chr13_670063",295,347,416,293,300,351
"chr13_670543",0,0,0,0,0,0
"chr13_671354",0,0,0,0,0,0
"chr13_671452",0,0,0,0,0,0
"chr13_671641",0,0,0,0,0,0
"chr13_671851",0,0,0,0,0,0
"chr13_671887",5677,5397,6416,4244,4621,4911
"chr13_674980",0,0,0,0,0,0
"chr13_675511",0,0,0,0,0,0
"chr13_675642",0,0,1,0,0,0
"chr13_675754",2,9,5,2,0,5
"chr13_675896",998,1011,1193.995,913,1089,1009
"chr13_676018",0,0,1.005,0,0,0
"chr13_67622",91,135,138,93,143,55
"chr13_676742",0,0,0,0,0,0
"chr13_676864",1,1,1,0,1,1
"chr13_676929",0,0,0,0,0,0
"chr13_677032",0,0,0,0,0,0
"chr13_677193",1376,1349,1565,1184,1125,1311
"chr13_677393",0,0,0,0,0,0
"chr13_677879",0,0,0,0,0,0
"chr13_681792",0,0,0,0,0,0
"chr13_68212",0,0,0,0,0,0
"chr13_68294",378,352,472,357.718,371,365.95
"chr13_684049",0,0,0,0,0,0
"chr13_684160",0,0,0,0,0,0
"chr13_684228",0,0,0,1,0,4
"chr13_684467",498,505,543,409,415,445
"chr13_685911",246,228,235,159,192,190
"chr13_687185",0,0,0,0,0,0
"chr13_687516",692,646,742,483,583,518
"chr13_688380",0,0,0,0,0,0
"chr13_688811",0,0,0,0,0,0
"chr13_688890",0,0,0,0,0,0
"chr13_689038",0,0,0,0,0,0
"chr13_689083",276,252,342,215,220,245
"chr13_690695",435,462,462,340,386,446
"chr13_693381",561,572,672,512,550,583
"chr13_69409",2,6,5,11.282,8,4.05
"chr13_695269",133,165,181,108,119,149
"chr13_696796",1078,998,1266,865,899,1025
"chr13_69716",0,0,0,0,0,0
"chr13_69735",204,229,258,171,221,216
"chr13_698586",0,0,0,0,0,0
"chr13_698811",1652,1380,1719,1151,1432,1613
"chr13_701092",22,13,20,6,13,21
"chr13_701349",0,2,1,1,0,0
"chr13_70138",1,4,3,3,3,2
"chr13_701428",0,0,0,0,0,0
"chr13_701471",0,0,0,0,0,0
"chr13_701790",1410,1297,1567,1237,1382,1661
"chr13_70313",0,0,0,0,0,0
"chr13_703579",553,614,644,450,465,493
"chr13_70624",15394,14929,17804,13171,14666,14684
"chr13_706312",1,0,0,0,0,0
"chr13_707133",3644,3382,4378,2875,3379,3410
"chr13_712035",0,0,0,0,0,0
"chr13_712215",0,2,0,2,0,0
"chr13_712316",491.803,455.917,567.926,385,408.967,504
"chr13_712335",0,0,0,0,0,0
"chr13_712451",10.197,4.083,3.074,0,3.033,3
"chr13_712991",0,0,0,0,0,0
"chr13_713743",0,0,0,0,0,0
"chr13_713931",320,239.953,325,272,272,304
"chr13_714662",0,0,0,0,0,0
"chr13_714724",0,0,0,0,0,0
"chr13_714953",0,0,0,0,0,0
"chr13_715151",0,0,0,0,0,0
"chr13_715216",1,2.047,0,1,0,1
"chr13_715454",0,0,0,0,0,0
"chr13_715638",341,299,372,262,259,352
"chr13_716417",0,0,0,0,0,0
"chr13_716715",273,284,325,275,245,280
"chr13_717017",0,0,0,0,0,0
"chr13_718183",4,5,12,5,5,2
"chr13_718419",0,0,0,0,0,0
"chr13_718465",0,0,0,0,0,0
"chr13_718575",388,398,451,320,335,317
"chr13_720505",0,0,0,0,0,0
"chr13_720710",0,0,0,0,0,0
"chr13_720713",0,0,0,0,0,0
"chr13_720833",1,0,4,1,1,2
"chr13_720924",0,2,1,2,0,1
"chr13_720960",139,135,152,145,129,130
"chr13_721593",1456,1390,1632,1121,1185,1227
"chr13_721816",0,0,0,0,0,0
"chr13_722383",0,0,0,0,0,0
"chr13_722599",0,0,0,0,2.038,0
"chr13_722613",487,454,573,362,356.962,432
"chr13_724626",144,142,201,125,131,130
"chr13_725405",0,0,0,0,0,0
"chr13_725934",2200,1966,2424,1795,1949,2305
"chr13_731344",2,0,0,0,0,0
"chr13_731583",0,0,0,0,0,0
"chr13_731655",0,0,0,0,0,0
"chr13_731674",0,0,0,0,0,0
"chr13_731724",6,3,4,1,10,7
"chr13_731932",0,0,0,0,0,0
"chr13_732414",653,567,624,394,429,422
"chr13_733165",0,0,0,0,0,0
"chr13_733268",0,1,0,0,0,0
"chr13_733319",0,0,0,0,0,0
"chr13_733545",464,470,484,418,400,447
"chr13_736926",89,76,65,40,38,55
"chr13_738719",0,0,0,0,0,0
"chr13_738854",0,0,0,0,0,0
"chr13_739185",86,80,126,81,62,72
"chr13_73955",0,0,0,0,0,0
"chr13_740076",0,0,0,0,0,0
"chr13_740266",140,132,152,102,115,112
"chr13_74068",0,1,0,0,0,0
"chr13_741206",0,0,0,0,0,0
"chr13_741447",0,0,1,0,0,0
"chr13_741512",406,416,479,353,337,474
"chr13_742316",0,0,0,0,0,0
"chr13_742971",387,437,444,340,317,372
"chr13_743749",1352,1170,1528,947,1094,1123
"chr13_74398",724,733,895,646,644,679
"chr13_745737",0,0,0,0,0,0
"chr13_746192",0,0,0,0,0,0
"chr13_746353",513,436,574,436,467,539
"chr13_747531",0,0,0,0,0,1
"chr13_748170",0,0,0,0,0,0
"chr13_748262",127,92,152,117,127,145
"chr13_749845",0,0,0,0,0,0
"chr13_749930",258,246,306,234,257,256
"chr13_751152",0,0,0,0,0,0
"chr13_751295",1,2,1,0,5,1
"chr13_751454",0,0,0,0,0,0
"chr13_751532",0,2,0,0,2,0
"chr13_751651",1,1,0,0,0,1
"chr13_751693",0,0,0,0,0,0
"chr13_751961",938,842,978,772,825,927
"chr13_752779",0,0,0,0,0,0
"chr13_753136",0,0,0,0,0,0
"chr13_753225",776,831,989,742,647,879
"chr13_754297",0,0,0,0,0,0
"chr13_754838",1518,1410,1772,1199,1382,1470
"chr13_756215",9,9,8,1,6,6
"chr13_757250",3,7,9,9,5,0
"chr13_758160",0,0,0,0,0,0
"chr13_758379",0,0,0,0,0,0
"chr13_758466",0,0,0,0,0,0
"chr13_758517",214.988,150,227,124,144,174.987
"chr13_758563",6.012,4,0,0,0,5.013
"chr13_759011",0,0,0,0,0,0
"chr13_759091",0,0,0,0,0,0
"chr13_759140",1,1,0,0,0,0
"chr13_759180",0,0,0,0,0,0
"chr13_759281",0,0,0,0,0,0
"chr13_759446",2,9,7,1,7,2
"chr13_759484",0,0,0,0,0,0
"chr13_759570",2,0,0,1,1,0
"chr13_759807",2038,1926,2358,1460,1589,2005
"chr13_761860",113,93,107,67,64,100
"chr13_762051",0,0,0,0,0,0
"chr13_762447",5454,4885,5971,3832,3502,3722
"chr13_762586",286,315,299,230,213,102
"chr13_762827",158,202,180,176,155,75
"chr13_762979",0,0,0,0,0,0
"chr13_763021",45,59,66,18,47,15
"chr13_763037",0,0,0,0,0,0
"chr13_763129",0,0,0,0,0,0
"chr13_763351",1213,1068,1317,813,954,1070
"chr13_763362",0,0,0,0,1,1
"chr13_763511",3,2,7,3,7,3
"chr13_767783",0,0,0,0,0,0
"chr13_768050",0,0,0,0,0,0
"chr13_769283",2,0,0,0,0,0
"chr13_769492",27,34,43,27,41,28
"chr13_769758",47,62,58,42,59,45
"chr13_770055",0,0,0,0,0,0
"chr13_770332",0,0,0,0,0,1
"chr13_770456",0,0,0,0,0,0
"chr13_770655",0,0,0,0,0,0
"chr13_770735",0,0,0,0,0,0
"chr13_770801",8026,7839,9153,6996,7666,7856
"chr13_77116",0,0,0,0,0,0
"chr13_77267",346,365,402,255,315,338
"chr13_772741",0,0,1,0,3,0
"chr13_772915",82.576,111,101,60,68,77
"chr13_773004",14.424,18,24,17,11,23
"chr13_773230",0,0,0,0,0,0
"chr13_773355",0,0,0,0,0,0
"chr13_77351",0,0,0,0,0,0
"chr13_773719",0,0,0,0,0,0
"chr13_774012",0,0,0,0,0,0
"chr13_774147",10,19,11,13,8,11
"chr13_774603",28,17,45,16,20,27
"chr13_774752",8714,9834,10883,7711,8084,8675
"chr13_775112",0,0,0,0,0,0
"chr13_775255",0,0,0,0,0,0
"chr13_775315",130,143,174,137,142,142
"chr13_775946",319,334.77,361.967,316,314,361.968
"chr13_776079",5,3.23,3.033,6,0,3.032
"chr13_776817",0,0,1,1,0,1
"chr13_777250",0,0,0,0,0,0
"chr13_777450",0,0,0,0,0,0
"chr13_777595",0,4,9,2,0,1
"chr13_777615",3,0,0,1,1,0
"chr13_77776",0,0,0,0,0,0
"chr13_777793",0,0,0,0,0,0
"chr13_778001",1094,982,1174,893,1059,1080
"chr13_778808",0,0,0,0,0,0
"chr13_778945",1058,1009,1247,871,994,923
"chr13_779134",0,0,0,0,0,0
"chr13_779405",0,0,0,0,0,0
"chr13_779629",516,523,663,443,500,463
"chr13_78018",0,0,0,0,0,0
"chr13_782031",0,0,0,0,0,0
"chr13_782225",1,1,0,2,3,0
"chr13_782333",0,0,2,0,0,0
"chr13_782550",0,0,0,0,0,0
"chr13_782620",614,534,653,455,539,512
"chr13_78335",221,219,264,230,208,274
"chr13_784172",0,0,0,0,0,0
"chr13_784240",0,0,0,0,0,0
"chr13_784300",0,1,0,0,1,1
"chr13_784539",4,7,4,8,6,1
"chr13_784621",695,697,784,477,564,633
"chr13_784651",0,0,0,0,0,0
"chr13_789024",0,0,0,0,0,0
"chr13_789098",0,0,0,0,0,0
"chr13_789131",0,0,0,0,0,0
"chr13_789315",0,0,0,0,0,0
"chr13_789378",1142,1058,1266,847,930,950
"chr13_790054",0,0,0,0,0,0
"chr13_790128",0,0,0,0,0,0
"chr13_790205",2209,1994,2437,1566,1682,1759
"chr13_79356",0,0,0,0,0,0
"chr13_793726",373,372,421,279,372,340
"chr13_793831",0,0,0,0,0,0
"chr13_794865",0,0,0,0,0,0
"chr13_794883",1,2,0,0,2.023,0
"chr13_794919",149,193,230,136,137.977,174
"chr13_795344",0,0,0,0,0,0
"chr13_795683",0,0,0,0,0,0
"chr13_795805",592,627.989,806,509,542.996,539
"chr13_796005",0,1.011,0,0,1.004,1
"chr13_796540",277,313,378,233,239,276
"chr13_798152",2,2,3,2,1,3
"chr13_798518",1267,1214,1460,985,1071,1133
"chr13_798577",0,0,0,0,0,0
"chr13_79909",146,158,153,110,135,162
"chr13_799972",0,0,0,0,0,0
"chr13_801509",0,0,0,0,0,0
"chr13_801585",1,0,0,0,1,3
"chr13_801616",0,0,0,0,0,0
"chr13_801702",0,4,2,4,1,2
"chr13_801728",0,0,0,0,0,0
"chr13_801772",483,401,549,350,457,407
"chr13_802888",256,235,287,198,231,261
"chr13_804232",0,0,0,0,0,0
"chr13_804456",44,26,28,21,20,20
"chr13_804683",0,0,0,0,0,0
"chr13_805326",343,335,402,268,315,313
"chr13_806484",0,0,0,0,0,0
"chr13_806506",0,0,0,0,0,0
"chr13_806635",0,0,0,0,0,0
"chr13_806681",0,0,0,0,0,0
"chr13_806726",2,0,2,0,1,1
"chr13_806770",5,1,3,0,0,1
"chr13_806865",803,740,921,573,651,653
"chr13_807355",0,0,0,0,0,0
"chr13_807651",0,0,0,0,0,0
"chr13_807693",0,0,0,0,0,0
"chr13_807740",0,0,0,0,0,0
"chr13_807801",28,13,24,24,23,27
"chr13_807862",0,0,0,0,0,0
"chr13_808008",0,0,0,0,0,0
"chr13_808910",0,0,0,0,0,0
"chr13_809032",0,0,0,0,0,0
"chr13_809358",4,7,3,2,2,0
"chr13_809427",0,0,0,0,0,0
"chr13_809462",0,0,0,0,0,0
"chr13_809534",0,0,0,0,0,0
"chr13_809623",3037,2963,3611,2999,3475,3430
"chr13_811079",0,0,0,0,0,0
"chr13_811089",0,0,0,0,1,0
"chr13_811233",1430,1448,1691,1146,1299,1395
"chr13_81379",0,0,0,0,0,0
"chr13_814364",92,48,95,61,55,72
"chr13_814485",0,0,0,0,0,0
"chr13_814663",0,0,0,0,0,0
"chr13_81481",147,120,143,109,120,138
"chr13_815268",0,0,0,0,0,0
"chr13_815522",0,1,0,1,1,0
"chr13_815651",943,810,1081,749,783,849
"chr13_818634",0,0,0,0,0,0
"chr13_818659",0,0,0,0,0,0
"chr13_818772",0,0,0,0,0,0
"chr13_818797",0,0,0,0,0,0
"chr13_818827",2616,2694,3317,2271,2489,2634
"chr13_820021",0,0,0,0,0,0
"chr13_820172",0,1,2,0,0,2
"chr13_820256",730,711,915,631,662,783
"chr13_82219",0,0,0,0,0,0
"chr13_822489",2.041,0,2,1,0,0
"chr13_82275",161,126,185,114,130,138
"chr13_822763",1250,1140,1367,902,1091,1121
"chr13_824729",22,19,27,11,15,12
"chr13_82571",0,0,0,0,0,0
"chr13_825984",0,0,0,0,0,0
"chr13_826297",1,1,0,1,1,0
"chr13_826849",0,0,0,0,0,0
"chr13_827028",7441,6975,8517,6364,7040,7516
"chr13_828010",0,0,0,0,0,0
"chr13_82846",0,0,0,0,0,0
"chr13_83090",721,582,749,544,519,654
"chr13_831893",0,0,0,0,0,0
"chr13_832339",160,136,209,120,119,139
"chr13_832500",0,0,0,0,0,0
"chr13_832849",0,0,0,0,0,0
"chr13_833356",287,284,340,236,252,271
"chr13_833540",0,0,0,0,0,0
"chr13_835085",0,0,0,0,0,0
"chr13_835326",243,167,265,190,207,221
"chr13_835438",0,0,0,0,0,0
"chr13_836437",0,0,0,0,0,0
"chr13_836839",0,0,0,0,0,0
"chr13_836944",0,0,0,0,0,0
"chr13_836988",0,0,0,0,0,0
"chr13_837034",8,4,3,1,0,3
"chr13_837131",3,1,1,1,0,0
"chr13_837279",0,0,0,0,0,0
"chr13_837377",0,0,0,0,0,0
"chr13_837480",0,0,0,0,0,1
"chr13_837588",0,0,0,0,0,0
"chr13_838187",537,458,647,338,400,431
"chr13_839914",1,0,0,0,0,0
"chr13_840144",327,245,340,186,221,263
"chr13_840180",0,0,0,0,0,0
"chr13_841805",0,0,0,0,0,0
"chr13_841889",0,0,0,0,0,0
"chr13_841942",166,211,227,110,174,183
"chr13_842259",0,0,0,0,0,0
"chr13_842311",0,1,0,0,0,0
"chr13_842436",423,390,476,299,342,390
"chr13_845571",550,525,614,370,466,455
"chr13_845907",0,0,0,0,0,0
"chr13_848321",0,0,0,0,0,0
"chr13_848685",387,341,352,256,322,296
"chr13_849883",0,0,0,0,0,0
"chr13_849955",0,0,0,0,0,0
"chr13_850074",265,265,319,284,303,317
"chr13_851641",0,0,0,0,0,0
"chr13_851705",0,0,0,1,0,0
"chr13_851828",0,0,0,0,0,0
"chr13_851863",0,0,0,0,0,0
"chr13_851923",0,0,0,0,0,0
"chr13_851933",0,0,0,0,0,0
"chr13_851975",0,0,0,0,0,0
"chr13_852045",0,0,0,0,0,0
"chr13_852053",0,0,0,0,0,0
"chr13_852406",0,0,0,0,0,0
